City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Shingu,JP,83.34,light rain,33.7333,135.9833,Shingu UI Hotel
2,The Valley,AI,82.26,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
3,Honolulu,US,84.02,broken clouds,21.3069,-157.8583,Aston at the Executive Centre Hotel
8,Hami,CN,83.73,scattered clouds,42.8,93.45,Laoyutang Resort
11,Padang,ID,80.65,broken clouds,-0.9492,100.3543,Mercure Padang
13,Papetoai,PF,81.99,scattered clouds,-17.4961,-149.8729,Fare Vaihere
15,Sierra Vista,US,89.58,scattered clouds,31.5545,-110.3037,Gateway Studio Suites
20,Kahului,US,87.82,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
23,Singkang,MY,82.45,overcast clouds,2.1006,102.7994,Kampung Seri Makmor Pagoh
24,Georgetown,MY,82.89,few clouds,5.4112,100.3354,Cititel Penang
26,Kapaa,US,85.98,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
28,Bengkulu,ID,80.74,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
30,Lorengau,PG,85.59,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
32,Mayo,US,83.21,clear sky,38.8876,-76.5119,Resorts Resource Group International
36,Fasa,IR,76.24,clear sky,28.9383,53.6482,Fasa University Boys' Dormitory
37,Cedar City,US,79.77,broken clouds,37.6775,-113.0619,Hampton Inn Cedar City
40,Atuona,PF,77.74,scattered clouds,-9.8,-139.0333,Villa Enata
41,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
44,Coahuayana,MX,79.39,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
47,Ixtapa,MX,84.22,broken clouds,20.7,-105.2,hotel la terminal
49,Hilo,US,81.28,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
50,Port Blair,IN,80.64,moderate rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
65,Khandyga,RU,77.67,overcast clouds,62.6667,135.6,Apel'sin
67,Mecca,SA,83.28,broken clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
71,Zhangye,CN,80.13,overcast clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
74,Kavieng,PG,83.61,light rain,-2.5744,150.7967,Nusa Island Retreat
78,Muros,ES,76.84,scattered clouds,42.7762,-9.0603,Apartment Av. Castelao
89,Butaritari,KI,82.18,light rain,3.0707,172.7902,Isles Sunset Lodge
96,Bonthe,SL,75.54,light rain,7.5264,-12.505,Bonthe Holiday Village
97,Mogadishu,SO,75.94,light rain,2.0371,45.3438,Hotel Juba
102,Wahpeton,US,77.72,clear sky,46.2652,-96.6059,Select Inn Breckenridge
104,Lexington,US,78.12,clear sky,37.9887,-84.4777,DoubleTree Suites by Hilton Hotel Lexington
107,Basco,PH,84.92,scattered clouds,20.4487,121.9702,Nathaniel's Lodge
108,Hithadhoo,MV,83.17,few clouds,-0.6,73.0833,Scoop Guest House
112,Daru,PG,78.15,overcast clouds,-9.0763,143.2092,Daru Lodge
115,Sung Noen,TH,84.65,overcast clouds,14.8992,101.8207,Ploynamkang Resort
120,Vaini,TO,76.89,few clouds,-21.2,-175.2,Keleti Beach Resort
122,Shancheng,CN,85.21,overcast clouds,34.7953,116.0817,Shanxian Golden Dragon Hotel
125,Sunagawa,JP,75.45,broken clouds,43.4864,141.9056,静香荘
130,Ust-Omchug,RU,77.67,broken clouds,61.15,149.6333,
132,Hobyo,SO,77.72,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
133,Gizo,SB,84.29,few clouds,-8.103,156.8419,Imagination Island
138,Acapulco,MX,84.02,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
140,Katsuura,JP,76.8,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
141,Faanui,PF,78.55,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
142,Puerto Ayacucho,VE,75.52,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
149,Saquena,PE,76.69,overcast clouds,-4.6667,-73.5167,
153,Golden Gate,US,79.99,clear sky,26.1879,-81.6951,Quality Inn & Suites Golf Resort
155,Morwa,IN,77.74,heavy intensity rain,22.9,73.8333,mahakali maa hotel
158,Zeya,RU,84.25,overcast clouds,53.75,127.2667,Kapital Inn
161,Mikuni,JP,80.51,overcast clouds,36.2171,136.1519,Seifuso
172,Simpang,ID,82.49,light rain,-1.2667,104.0833,
173,Coria,ES,85.44,clear sky,39.9879,-6.5377,Hotel San Cristóbal
176,Ojinaga,MX,89.56,clear sky,29.5667,-104.4167,Suites Las Palmas
177,Kapit,MY,80.22,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
185,Saint-Georges,GD,78.48,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
186,Hatillo,PR,81.16,overcast clouds,18.4863,-66.8254,El Buen Hotel
189,Amga,RU,79.84,broken clouds,60.8953,131.9608,Algys
191,Tautira,PF,77.04,broken clouds,-17.7333,-149.15,Pension Oaoa
