City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Victoria,HK,22.2855,114.1577,91.26,77,93,3.0,overcast clouds
1,Shingu,JP,33.7333,135.9833,83.34,64,100,2.3,light rain
2,The Valley,AI,18.217,-63.0578,82.26,74,100,20.8,overcast clouds
3,Honolulu,US,21.3069,-157.8583,84.02,75,75,21.85,broken clouds
4,Imbituba,BR,-28.24,-48.6703,62.85,83,21,7.0,few clouds
5,Tiksi,RU,71.6872,128.8694,41.04,89,93,8.08,overcast clouds
6,Rikitea,PF,-23.1203,-134.9692,69.98,81,89,8.01,light rain
7,Nome,US,64.5011,-165.4064,66.16,72,0,12.66,clear sky
8,Hami,CN,42.8,93.45,83.73,23,47,8.59,scattered clouds
9,Hobart,AU,-42.8794,147.3294,50.25,79,75,11.5,broken clouds
10,Rongcheng,CN,30.634,117.8517,95.56,53,97,4.05,overcast clouds
11,Padang,ID,-0.9492,100.3543,80.65,71,68,1.63,broken clouds
12,Punta Arenas,CL,-53.15,-70.9167,37.51,81,100,16.11,overcast clouds
13,Papetoai,PF,-17.4961,-149.8729,81.99,66,37,18.1,scattered clouds
14,Cape Town,ZA,-33.9258,18.4232,57.88,94,75,16.11,light intensity drizzle
15,Sierra Vista,US,31.5545,-110.3037,89.58,32,40,20.71,scattered clouds
16,Port Alfred,ZA,-33.5906,26.891,53.19,76,0,1.99,clear sky
17,San Cristobal,VE,7.7669,-72.225,73.58,89,80,2.62,broken clouds
18,Sitka,US,57.0531,-135.33,57.09,82,100,0.0,overcast clouds
19,Pisco,PE,-13.7,-76.2167,59.05,88,0,16.11,clear sky
20,Kahului,US,20.8947,-156.47,87.82,69,40,25.32,scattered clouds
21,Vila Velha,BR,-20.3297,-40.2925,73.35,86,40,3.44,scattered clouds
22,Cherskiy,RU,68.75,161.3,54.9,48,32,19.66,scattered clouds
23,Singkang,MY,2.1006,102.7994,82.45,81,98,1.63,overcast clouds
24,Georgetown,MY,5.4112,100.3354,82.89,91,20,2.3,few clouds
25,Bluff,NZ,-46.6,168.3333,47.8,71,82,13.73,broken clouds
26,Kapaa,US,22.0752,-159.319,85.98,74,20,17.27,few clouds
27,Nikolskoye,RU,59.7035,30.7861,62.8,85,34,4.97,scattered clouds
28,Bengkulu,ID,-3.8004,102.2655,80.74,78,40,2.19,scattered clouds
29,Ushuaia,AR,-54.8,-68.3,33.46,80,40,8.05,scattered clouds
30,Lorengau,PG,-2.0226,147.2712,85.59,67,61,7.43,broken clouds
31,Bredasdorp,ZA,-34.5322,20.0403,58.1,79,76,16.24,broken clouds
32,Mayo,US,38.8876,-76.5119,83.21,79,0,8.05,clear sky
33,Skibbereen,IE,51.55,-9.2667,56.1,90,2,4.85,clear sky
34,Lugo,ES,43.0,-7.5,72.77,91,60,1.99,broken clouds
35,Peru,US,40.7537,-86.0689,72.09,89,0,7.74,clear sky
36,Fasa,IR,28.9383,53.6482,76.24,16,0,6.91,clear sky
37,Cedar City,US,37.6775,-113.0619,79.77,36,75,11.5,broken clouds
38,Hofn,IS,64.2539,-15.2082,50.59,81,100,10.18,overcast clouds
39,Busselton,AU,-33.65,115.3333,63.34,83,72,19.06,broken clouds
40,Atuona,PF,-9.8,-139.0333,77.74,74,26,19.04,scattered clouds
41,Avarua,CK,-21.2078,-159.775,77.05,61,75,9.22,broken clouds
42,Buin,CL,-33.7333,-70.75,52.74,80,100,2.84,overcast clouds
43,Jamestown,US,42.097,-79.2353,67.59,72,40,6.91,scattered clouds
44,Coahuayana,MX,18.7333,-103.6833,79.39,88,100,2.84,overcast clouds
45,Saldanha,ZA,-33.0117,17.9442,55.45,94,100,8.88,light rain
46,Saint-Philippe,RE,-21.3585,55.7679,65.79,80,58,12.03,light rain
47,Ixtapa,MX,20.7,-105.2,84.22,79,75,6.91,broken clouds
48,Albany,US,42.6001,-73.9662,69.33,85,100,2.93,light rain
49,Hilo,US,19.7297,-155.09,81.28,91,100,11.5,moderate rain
50,Port Blair,IN,11.6667,92.75,80.64,89,100,9.22,moderate rain
51,East London,ZA,-33.0153,27.9116,57.31,65,0,8.28,clear sky
52,Longhua,CN,23.6137,114.1919,92.21,55,13,2.13,few clouds
53,Ambovombe,MG,-25.1667,46.0833,61.77,80,0,6.2,clear sky
54,Coihaique,CL,-45.5752,-72.0662,30.15,93,0,0.0,clear sky
55,Mar Del Plata,AR,-38.0023,-57.5575,50.09,82,0,15.01,clear sky
56,Melton,AU,-37.6833,144.5833,53.47,70,45,6.42,scattered clouds
57,Airai,TL,-8.9266,125.4092,65.44,60,99,4.09,overcast clouds
58,Mandalgovi,MN,45.7625,106.2708,72.88,31,99,14.97,overcast clouds
59,Ribeira Grande,PT,38.5167,-28.7,69.71,94,100,12.39,overcast clouds
60,Samarinda,ID,-0.5,117.15,74.08,99,100,1.32,light rain
61,Am Timan,TD,11.0297,20.2827,73.74,84,100,2.48,overcast clouds
62,Chuy,UY,-33.6971,-53.4616,45.99,88,0,8.93,clear sky
63,Qaqortoq,GL,60.7167,-46.0333,47.46,67,100,3.85,overcast clouds
64,Tuatapere,NZ,-46.1333,167.6833,43.75,86,90,9.06,overcast clouds
65,Khandyga,RU,62.6667,135.6,77.67,55,99,2.95,overcast clouds
66,Vardo,NO,70.3705,31.1107,51.78,100,100,8.05,light rain
