City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bethel,US,2022-07-07 03:07:13,41.3712,-73.414,75.07,82,75,3.44
1,Eureka,US,2022-07-07 03:03:25,40.8021,-124.1637,65.68,83,35,3.0
2,Kuzino,RU,2022-07-07 03:07:14,57.0224,59.4412,59.16,70,56,2.3
3,Praia,CV,2022-07-07 03:07:14,14.9215,-23.5087,74.53,84,70,9.01
4,Sambava,MG,2022-07-07 03:07:14,-14.2667,50.1667,69.19,83,59,11.86
5,Kapaa,US,2022-07-07 03:07:14,22.0752,-159.319,82.38,85,100,14.97
6,Padang,ID,2022-07-07 03:07:15,-0.9492,100.3543,86.05,62,35,2.3
7,Jamestown,US,2022-07-07 03:07:15,42.097,-79.2353,65.01,85,0,6.91
8,Arraial Do Cabo,BR,2022-07-07 03:07:15,-22.9661,-42.0278,69.89,88,0,24.72
9,Atuona,PF,2022-07-07 03:07:16,-9.8,-139.0333,77.63,81,22,26.26
10,Porto Empedocle,IT,2022-07-07 03:07:16,37.2934,13.5264,80.47,52,34,2.04
11,Cayenne,GF,2022-07-07 03:05:38,4.9333,-52.3333,82.09,1,40,4.0
12,Avarua,CK,2022-07-07 03:07:16,-21.2078,-159.775,75.25,57,20,6.91
13,Coquimbo,CL,2022-07-07 03:07:17,-29.9533,-71.3436,49.73,81,0,9.22
14,Ushuaia,AR,2022-07-07 03:07:17,-54.8,-68.3,29.86,69,0,6.91
15,Mahebourg,MU,2022-07-07 03:07:18,-20.4081,57.7,70.25,71,97,14.5
16,Grand-Santi,GF,2022-07-07 03:07:18,4.25,-54.3833,71.58,99,100,2.19
17,Caconda,AO,2022-07-07 03:07:18,-13.7333,15.0667,50.14,55,4,2.35
18,Hami,CN,2022-07-07 03:07:19,42.8,93.45,85.06,19,0,9.82
19,Kodiak,US,2022-07-07 03:03:56,57.79,-152.4072,52.12,96,100,10.25
20,Walvis Bay,NA,2022-07-07 03:07:19,-22.9575,14.5053,52.09,76,0,9.64
